frame,vertice,x,y
0,0,1768,1076
0,1,1164,324
0,2,1616,280
1,0,1768,1076
1,1,1164,324
1,2,1616,280
2,0,1768,1076
2,1,1164,324
2,2,1616,280
3,0,1768,1076
3,1,1164,324
3,2,1616,280
4,0,1768,1076
4,1,1164,324
4,2,1616,280
5,0,1768,1076
5,1,1164,324
5,2,1616,280
6,0,1768,1076
6,1,1164,324
6,2,1616,280
7,0,1768,1076
7,1,1164,324
7,2,1616,280
8,0,1768,1076
8,1,1164,324
8,2,1616,280
9,0,1768,1076
9,1,1164,324
9,2,1616,280
10,0,1772,1064
10,1,920,340
10,2,1612,272
11,0,1772,1064
11,1,920,340
11,2,1612,272
12,0,1772,1064
12,1,920,340
12,2,1612,272
13,0,1772,1064
13,1,920,340
13,2,1612,272
14,0,1772,1064
14,1,920,340
14,2,1612,272
15,0,1772,1064
15,1,920,340
15,2,1612,272
16,0,1772,1064
16,1,920,340
16,2,1612,272
17,0,1772,1064
17,1,920,340
17,2,1612,272
18,0,1772,1064
18,1,920,340
18,2,1612,272
19,0,1772,1064
19,1,920,340
19,2,1612,272
20,0,1756,1076
20,1,1420,692
20,2,1440,284
20,3,1608,268
21,0,1756,1076
21,1,1420,692
21,2,1440,284
21,3,1608,268
22,0,1756,1076
22,1,1420,692
22,2,1440,284
22,3,1608,268
23,0,1756,1076
23,1,1420,692
23,2,1440,284
23,3,1608,268
24,0,1756,1076
24,1,1420,692
24,2,1440,284
24,3,1608,268
25,0,1756,1076
25,1,1420,692
25,2,1440,284
25,3,1608,268
26,0,1756,1076
26,1,1420,692
26,2,1440,284
26,3,1608,268
27,0,1756,1076
27,1,1420,692
27,2,1440,284
27,3,1608,268
28,0,1756,1076
28,1,1420,692
28,2,1440,284
28,3,1608,268
29,0,1756,1076
29,1,1420,692
29,2,1440,284
29,3,1608,268
30,0,1756,1068
30,1,1416,688
30,2,1616,424
30,3,1708,652
31,0,1756,1068
31,1,1416,688
31,2,1616,424
31,3,1708,652
32,0,1756,1068
32,1,1416,688
32,2,1616,424
32,3,1708,652
33,0,1756,1068
33,1,1416,688
33,2,1616,424
33,3,1708,652
34,0,1756,1068
34,1,1416,688
34,2,1616,424
34,3,1708,652
35,0,1756,1068
35,1,1416,688
35,2,1616,424
35,3,1708,652
36,0,1756,1068
36,1,1416,688
36,2,1616,424
36,3,1708,652
37,0,1756,1068
37,1,1416,688
37,2,1616,424
37,3,1708,652
38,0,1756,1068
38,1,1416,688
38,2,1616,424
38,3,1708,652
39,0,1756,1068
39,1,1416,688
39,2,1616,424
39,3,1708,652
40,0,1728,1076
40,1,1068,312
40,2,1596,264
41,0,1728,1076
41,1,1068,312
41,2,1596,264
42,0,1728,1076
42,1,1068,312
42,2,1596,264
43,0,1728,1076
43,1,1068,312
43,2,1596,264
44,0,1728,1076
44,1,1068,312
44,2,1596,264
45,0,1728,1076
45,1,1068,312
45,2,1596,264
46,0,1728,1076
46,1,1068,312
46,2,1596,264
47,0,1728,1076
47,1,1068,312
47,2,1596,264
48,0,1728,1076
48,1,1068,312
48,2,1596,264
49,0,1728,1076
49,1,1068,312
49,2,1596,264
50,0,1664,1076
50,1,1360,680
50,2,1568,404
50,3,1636,640
51,0,1664,1076
51,1,1360,680
51,2,1568,404
51,3,1636,640
52,0,1664,1076
52,1,1360,680
52,2,1568,404
52,3,1636,640
53,0,1664,1076
53,1,1360,680
53,2,1568,404
53,3,1636,640
54,0,1664,1076
54,1,1360,680
54,2,1568,404
54,3,1636,640
55,0,1664,1076
55,1,1360,680
55,2,1568,404
55,3,1636,640
56,0,1664,1076
56,1,1360,680
56,2,1568,404
56,3,1636,640
57,0,1664,1076
57,1,1360,680
57,2,1568,404
57,3,1636,640
58,0,1664,1076
58,1,1360,680
58,2,1568,404
58,3,1636,640
59,0,1664,1076
59,1,1360,680
59,2,1568,404
59,3,1636,640
60,0,1636,1064
60,1,928,328
60,2,1560,264
61,0,1636,1064
61,1,928,328
61,2,1560,264
62,0,1636,1064
62,1,928,328
62,2,1560,264
63,0,1636,1064
63,1,928,328
63,2,1560,264
64,0,1636,1064
64,1,928,328
64,2,1560,264
65,0,1636,1064
65,1,928,328
65,2,1560,264
66,0,1636,1064
66,1,928,328
66,2,1560,264
67,0,1636,1064
67,1,928,328
67,2,1560,264
68,0,1636,1064
68,1,928,328
68,2,1560,264
69,0,1636,1064
69,1,928,328
69,2,1560,264
70,0,1568,1076
70,1,920,328
70,2,1552,268
70,3,1716,656
71,0,1568,1076
71,1,920,328
71,2,1552,268
71,3,1716,656
72,0,1568,1076
72,1,920,328
72,2,1552,268
72,3,1716,656
73,0,1568,1076
73,1,920,328
73,2,1552,268
73,3,1716,656
74,0,1568,1076
74,1,920,328
74,2,1552,268
74,3,1716,656
75,0,1568,1076
75,1,920,328
75,2,1552,268
75,3,1716,656
76,0,1568,1076
76,1,920,328
76,2,1552,268
76,3,1716,656
77,0,1568,1076
77,1,920,328
77,2,1552,268
77,3,1716,656
78,0,1568,1076
78,1,920,328
78,2,1552,268
78,3,1716,656
79,0,1568,1076
79,1,920,328
79,2,1552,268
79,3,1716,656
80,0,1032,308
80,1,1536,256
80,2,1488,1068
81,0,1032,308
81,1,1536,256
81,2,1488,1068
82,0,1032,308
82,1,1536,256
82,2,1488,1068
83,0,1032,308
83,1,1536,256
83,2,1488,1068
84,0,1032,308
84,1,1536,256
84,2,1488,1068
85,0,1032,308
85,1,1536,256
85,2,1488,1068
86,0,1032,308
86,1,1536,256
86,2,1488,1068
87,0,1032,308
87,1,1536,256
87,2,1488,1068
88,0,1032,308
88,1,1536,256
88,2,1488,1068
89,0,1032,308
89,1,1536,256
89,2,1488,1068
90,0,1524,380
90,1,1500,1000
90,2,1460,1076
90,3,1272,656
90,4,1344,420
91,0,1524,380
91,1,1500,1000
91,2,1460,1076
91,3,1272,656
91,4,1344,420
92,0,1524,380
92,1,1500,1000
92,2,1460,1076
92,3,1272,656
92,4,1344,420
93,0,1524,380
93,1,1500,1000
93,2,1460,1076
93,3,1272,656
93,4,1344,420
94,0,1524,380
94,1,1500,1000
94,2,1460,1076
94,3,1272,656
94,4,1344,420
95,0,1524,380
95,1,1500,1000
95,2,1460,1076
95,3,1272,656
95,4,1344,420
96,0,1524,380
96,1,1500,1000
96,2,1460,1076
96,3,1272,656
96,4,1344,420
97,0,1524,380
97,1,1500,1000
97,2,1460,1076
97,3,1272,656
97,4,1344,420
98,0,1524,380
98,1,1500,1000
98,2,1460,1076
98,3,1272,656
98,4,1344,420
99,0,1524,380
99,1,1500,1000
99,2,1460,1076
99,3,1272,656
99,4,1344,420
100,0,1180,1068
100,1,572,812
101,0,1180,1068
101,1,572,812
102,0,1180,1068
102,1,572,812
103,0,1180,1068
103,1,572,812
104,0,1180,1068
104,1,572,812
105,0,1180,1068
105,1,572,812
106,0,1180,1068
106,1,572,812
107,0,1180,1068
107,1,572,812
108,0,1180,1068
108,1,572,812
109,0,1180,1068
109,1,572,812
110,0,1172,1068
110,1,644,820
111,0,1172,1068
111,1,644,820
112,0,1172,1068
112,1,644,820
113,0,1172,1068
113,1,644,820
114,0,1172,1068
114,1,644,820
115,0,1172,1068
115,1,644,820
116,0,1172,1068
116,1,644,820
117,0,1172,1068
117,1,644,820
118,0,1172,1068
118,1,644,820
119,0,1172,1068
119,1,644,820
120,0,1280,708
120,1,1528,748
120,2,1460,1076
120,3,1432,1076
121,0,1280,708
121,1,1528,748
121,2,1460,1076
121,3,1432,1076
122,0,1280,708
122,1,1528,748
122,2,1460,1076
122,3,1432,1076
123,0,1280,708
123,1,1528,748
123,2,1460,1076
123,3,1432,1076
124,0,1280,708
124,1,1528,748
124,2,1460,1076
124,3,1432,1076
125,0,1280,708
125,1,1528,748
125,2,1460,1076
125,3,1432,1076
126,0,1280,708
126,1,1528,748
126,2,1460,1076
126,3,1432,1076
127,0,1280,708
127,1,1528,748
127,2,1460,1076
127,3,1432,1076
128,0,1280,708
128,1,1528,748
128,2,1460,1076
128,3,1432,1076
129,0,1280,708
129,1,1528,748
129,2,1460,1076
129,3,1432,1076
130,0,1624,256
130,1,1080,1076
130,2,340,628
130,3,780,276
131,0,1624,256
131,1,1080,1076
131,2,340,628
131,3,780,276
132,0,1624,256
132,1,1080,1076
132,2,340,628
132,3,780,276
133,0,1624,256
133,1,1080,1076
133,2,340,628
133,3,780,276
134,0,1624,256
134,1,1080,1076
134,2,340,628
134,3,780,276
135,0,1624,256
135,1,1080,1076
135,2,340,628
135,3,780,276
136,0,1624,256
136,1,1080,1076
136,2,340,628
136,3,780,276
137,0,1624,256
137,1,1080,1076
137,2,340,628
137,3,780,276
138,0,1624,256
138,1,1080,1076
138,2,340,628
138,3,780,276
139,0,1624,256
139,1,1080,1076
139,2,340,628
139,3,780,276
140,0,1088,1076
140,1,360,604
140,2,540,468
141,0,1088,1076
141,1,360,604
141,2,540,468
142,0,1088,1076
142,1,360,604
142,2,540,468
143,0,1088,1076
143,1,360,604
143,2,540,468
144,0,1088,1076
144,1,360,604
144,2,540,468
145,0,1088,1076
145,1,360,604
145,2,540,468
146,0,1088,1076
146,1,360,604
146,2,540,468
147,0,1088,1076
147,1,360,604
147,2,540,468
148,0,1088,1076
148,1,360,604
148,2,540,468
149,0,1088,1076
149,1,360,604
149,2,540,468
150,0,1072,1032
150,1,392,584
150,2,748,356
151,0,1072,1032
151,1,392,584
151,2,748,356
152,0,1072,1032
152,1,392,584
152,2,748,356
153,0,1072,1032
153,1,392,584
153,2,748,356
154,0,1072,1032
154,1,392,584
154,2,748,356
155,0,1072,1032
155,1,392,584
155,2,748,356
156,0,1072,1032
156,1,392,584
156,2,748,356
157,0,1072,1032
157,1,392,584
157,2,748,356
158,0,1072,1032
158,1,392,584
158,2,748,356
159,0,1072,1032
159,1,392,584
159,2,748,356
160,0,1196,1076
160,1,416,576
160,2,588,484
161,0,1196,1076
161,1,416,576
161,2,588,484
162,0,1196,1076
162,1,416,576
162,2,588,484
163,0,1196,1076
163,1,416,576
163,2,588,484
164,0,1196,1076
164,1,416,576
164,2,588,484
165,0,1196,1076
165,1,416,576
165,2,588,484
166,0,1196,1076
166,1,416,576
166,2,588,484
167,0,1196,1076
167,1,416,576
167,2,588,484
168,0,1196,1076
168,1,416,576
168,2,588,484
169,0,1196,1076
169,1,416,576
169,2,588,484
170,0,1464,732
170,1,1348,1028
170,2,1304,1068
170,3,1320,740
171,0,1464,732
171,1,1348,1028
171,2,1304,1068
171,3,1320,740
172,0,1464,732
172,1,1348,1028
172,2,1304,1068
172,3,1320,740
173,0,1464,732
173,1,1348,1028
173,2,1304,1068
173,3,1320,740
174,0,1464,732
174,1,1348,1028
174,2,1304,1068
174,3,1320,740
175,0,1464,732
175,1,1348,1028
175,2,1304,1068
175,3,1320,740
176,0,1464,732
176,1,1348,1028
176,2,1304,1068
176,3,1320,740
177,0,1464,732
177,1,1348,1028
177,2,1304,1068
177,3,1320,740
178,0,1464,732
178,1,1348,1028
178,2,1304,1068
178,3,1320,740
179,0,1464,732
179,1,1348,1028
179,2,1304,1068
179,3,1320,740
180,0,1080,1068
180,1,1052,1068
180,2,932,968
180,3,952,964
181,0,1080,1068
181,1,1052,1068
181,2,932,968
181,3,952,964
182,0,1080,1068
182,1,1052,1068
182,2,932,968
182,3,952,964
183,0,1080,1068
183,1,1052,1068
183,2,932,968
183,3,952,964
184,0,1080,1068
184,1,1052,1068
184,2,932,968
184,3,952,964
185,0,1080,1068
185,1,1052,1068
185,2,932,968
185,3,952,964
186,0,1080,1068
186,1,1052,1068
186,2,932,968
186,3,952,964
187,0,1080,1068
187,1,1052,1068
187,2,932,968
187,3,952,964
188,0,1080,1068
188,1,1052,1068
188,2,932,968
188,3,952,964
189,0,1080,1068
189,1,1052,1068
189,2,932,968
189,3,952,964
190,0,1588,464
190,1,1588,492
190,2,1496,672
190,3,1480,676
190,4,1528,556
191,0,1588,464
191,1,1588,492
191,2,1496,672
191,3,1480,676
191,4,1528,556
192,0,1588,464
192,1,1588,492
192,2,1496,672
192,3,1480,676
192,4,1528,556
193,0,1588,464
193,1,1588,492
193,2,1496,672
193,3,1480,676
193,4,1528,556
194,0,1588,464
194,1,1588,492
194,2,1496,672
194,3,1480,676
194,4,1528,556
195,0,1588,464
195,1,1588,492
195,2,1496,672
195,3,1480,676
195,4,1528,556
196,0,1588,464
196,1,1588,492
196,2,1496,672
196,3,1480,676
196,4,1528,556
197,0,1588,464
197,1,1588,492
197,2,1496,672
197,3,1480,676
197,4,1528,556
198,0,1588,464
198,1,1588,492
198,2,1496,672
198,3,1480,676
198,4,1528,556
199,0,1588,464
199,1,1588,492
199,2,1496,672
199,3,1480,676
199,4,1528,556
200,0,928,1052
200,1,484,636
201,0,928,1052
201,1,484,636
202,0,928,1052
202,1,484,636
203,0,928,1052
203,1,484,636
204,0,928,1052
204,1,484,636
205,0,928,1052
205,1,484,636
206,0,928,1052
206,1,484,636
207,0,928,1052
207,1,484,636
208,0,928,1052
208,1,484,636
209,0,928,1052
209,1,484,636
210,0,956,1076
210,1,428,584
210,2,856,272
210,3,940,276
211,0,956,1076
211,1,428,584
211,2,856,272
211,3,940,276
212,0,956,1076
212,1,428,584
212,2,856,272
212,3,940,276
213,0,956,1076
213,1,428,584
213,2,856,272
213,3,940,276
214,0,956,1076
214,1,428,584
214,2,856,272
214,3,940,276
215,0,956,1076
215,1,428,584
215,2,856,272
215,3,940,276
216,0,956,1076
216,1,428,584
216,2,856,272
216,3,940,276
217,0,956,1076
217,1,428,584
217,2,856,272
217,3,940,276
218,0,956,1076
218,1,428,584
218,2,856,272
218,3,940,276
219,0,956,1076
219,1,428,584
219,2,856,272
219,3,940,276
220,0,980,1076
220,1,432,580
220,2,820,300
221,0,980,1076
221,1,432,580
221,2,820,300
222,0,980,1076
222,1,432,580
222,2,820,300
223,0,980,1076
223,1,432,580
223,2,820,300
224,0,980,1076
224,1,432,580
224,2,820,300
225,0,980,1076
225,1,432,580
225,2,820,300
226,0,980,1076
226,1,432,580
226,2,820,300
227,0,980,1076
227,1,432,580
227,2,820,300
228,0,980,1076
228,1,432,580
228,2,820,300
229,0,980,1076
229,1,432,580
229,2,820,300
230,0,1032,1076
230,1,436,584
230,2,868,264
230,3,952,272
231,0,1032,1076
231,1,436,584
231,2,868,264
231,3,952,272
232,0,1032,1076
232,1,436,584
232,2,868,264
232,3,952,272
233,0,1032,1076
233,1,436,584
233,2,868,264
233,3,952,272
234,0,1032,1076
234,1,436,584
234,2,868,264
234,3,952,272
235,0,1032,1076
235,1,436,584
235,2,868,264
235,3,952,272
236,0,1032,1076
236,1,436,584
236,2,868,264
236,3,952,272
237,0,1032,1076
237,1,436,584
237,2,868,264
237,3,952,272
238,0,1032,1076
238,1,436,584
238,2,868,264
238,3,952,272
239,0,1032,1076
239,1,436,584
239,2,868,264
239,3,952,272
240,0,944,260
240,1,708,780
240,2,440,576
240,3,864,260
241,0,944,260
241,1,708,780
241,2,440,576
241,3,864,260
242,0,944,260
242,1,708,780
242,2,440,576
242,3,864,260
243,0,944,260
243,1,708,780
243,2,440,576
243,3,864,260
244,0,944,260
244,1,708,780
244,2,440,576
244,3,864,260
245,0,944,260
245,1,708,780
245,2,440,576
245,3,864,260
246,0,944,260
246,1,708,780
246,2,440,576
246,3,864,260
247,0,944,260
247,1,708,780
247,2,440,576
247,3,864,260
248,0,944,260
248,1,708,780
248,2,440,576
248,3,864,260
249,0,944,260
249,1,708,780
249,2,440,576
249,3,864,260
